id,object_name,chain,object_type,address,number,number_original,object_type_short,street,street_length
223383,Новая столовая РУСКУХНЯ,False,столовая,"город Москва, Строительный проезд, дом 7А, корпус 28",40.0,40,столовая,Строительный проезд,19
223081,Вереск-Л,False,кафе,"город Москва, улица Вилиса Лациса, дом 6, корпус 1",50.0,50,кафе,улица Вилиса Лациса,19
209844,Кафетерия,False,кафетерий,"город Москва, Походный проезд, дом 24",6.0,6,кафетерий,Походный проезд,15
206966,ДЗ ПД Москоу,False,ресторан,"город Москва, Цветной бульвар, дом 21, строение 2",114.0,114,ресторан,Цветной бульвар,15
206186,Кулинария,False,магазин (отдел кулинарии),"город Москва, Кронштадтский бульвар, дом 47",8.5,0,магазин,Кронштадтский бульвар,21
219375,Горячий лаваш,False,закусочная,"город Москва, Боровское шоссе, дом 27",14.0,14,закусочная,Боровское шоссе,15
213707,Кафе,False,кафе,"город Москва, Россошанский проезд, дом 3",22.0,22,кафе,Россошанский проезд,19
214006,Зазеркалье,False,кафе,"город Москва, Россошанский проезд, дом 3",20.0,20,кафе,Россошанский проезд,19
214009,Япончик,False,кафе,"город Москва, Россошанский проезд, дом 3",35.0,0,кафе,Россошанский проезд,19
208607,Пицца COMORRA,False,бар,"город Москва, улица Зацепа, дом 26, строение 1",56.0,56,бар,улица Зацепа,12
206922,Кафе Сообщники,False,кафе,"город Москва, улица Зацепа, дом 26, строение 1",60.0,60,кафе,улица Зацепа,12
210161,CEDRO,False,ресторан,"город Москва, 4-й Вятский переулок, дом 10",60.0,60,ресторан,4-й Вятский переулок,20
214005,Добрые люди,False,кафе,"город Москва, Софийская набережная, дом 30, строение 1",4.0,4,кафе,Софийская набережная,20
